dt_TERAPIAINTENSIVA,terapia intensiva,deceduti,deceduti/terapia intensiva 35gg
2021-09-05,27,13.0,0.4895222129086337
2021-09-06,37,15.0,0.48911222780569513
2021-09-07,38,21.0,0.4902789518174134
2021-09-08,29,14.0,0.49022939677145283
2021-09-09,33,20.0,0.48873483535528595
2021-09-10,27,14.0,0.4864391951006124
2021-09-11,36,20.0,0.48487544483985767
2021-09-12,31,16.0,0.47751798561151076
2021-09-13,35,20.0,0.47549909255898365
2021-09-14,19,10.0,0.4738292011019284
2021-09-15,36,14.0,0.4706430568499534
2021-09-16,32,13.0,0.46946564885496184
2021-09-17,31,15.0,0.4698443579766537
2021-09-18,32,13.0,0.4717542120911794
2021-09-19,24,13.0,0.4767206477732793
2021-09-20,26,10.0,0.47390396659707723
2021-09-21,34,14.0,0.47629310344827586
2021-09-22,27,12.0,0.4768211920529801
2021-09-23,34,16.0,0.4771968854282536
2021-09-24,24,10.0,0.4806378132118451
2021-09-25,27,13.0,0.47447795823665895
2021-09-26,15,5.0,0.4758539458186101
2021-09-27,25,11.0,0.4699519230769231
2021-09-28,19,10.0,0.4700122399020808
2021-09-29,27,12.0,0.46582278481012657
2021-09-30,21,8.0,0.461439588688946
2021-10-01,21,10.0,0.46284224250325945
2021-10-02,22,10.0,0.4605263157894737
2021-10-03,15,8.0,0.46567967698519513
2021-10-04,21,13.0,0.4663923182441701
2021-10-05,18,10.0,0.47067039106145253
2021-10-06,22,11.0,0.474964234620887
2021-10-07,8,5.0,0.47474747474747475
2021-10-08,17,10.0,0.48005698005698005
2021-10-09,16,3.0,0.47750362844702465
2021-10-10,20,10.0,0.478134110787172
2021-10-11,16,8.0,0.48
2021-10-12,22,8.0,0.48125937031484256
2021-10-13,16,9.0,0.48338368580060426
2021-10-14,16,7.0,0.48676470588235293
2021-10-15,12,7.0,0.486090775988287
2021-10-16,9,4.0,0.48419540229885055
2021-10-17,19,7.0,0.48776978417266187
2021-10-18,24,16.0,0.4915254237288136
2021-10-19,12,5.0,0.49303621169916434
2021-10-20,19,10.0,0.493844049247606
2021-10-21,18,7.0,0.4926372155287818
2021-10-22,18,12.0,0.48353096179183136
2021-10-23,15,8.0,0.48370273794002605
2021-10-24,18,10.0,0.4806201550387597
2021-10-25,35,18.0,0.47381546134663344
2021-10-26,21,6.0,0.46782178217821785
2021-10-27,24,11.0,0.47572815533980584
2021-10-28,23,12.0,0.4792408066429419
2021-10-29,16,7.0,0.4820809248554913
2021-10-30,22,12.0,0.4840182648401826
2021-10-31,33,16.0,0.48066298342541436
2021-11-01,28,12.0,0.48439181916038754
2021-11-02,32,15.0,0.47648902821316613
2021-11-03,26,14.0,0.47821681864235055
2021-11-04,34,17.0,0.47514910536779326
2021-11-05,31,16.0,0.46853823814133594
2021-11-06,35,17.0,0.4699248120300752
2021-11-07,31,15.0,0.46855059252506837
2021-11-08,33,12.0,0.46802841918294846
2021-11-09,26,14.0,0.46533795493934144
2021-11-10,29,12.0,0.45847457627118643
2021-11-11,36,13.0,0.4558944765045342
2021-11-12,23,8.0,0.4537337662337662
2021-11-13,32,17.0,0.45548489666136727
2021-11-14,39,22.0,0.4565891472868217
2021-11-15,38,21.0,0.4540622627182992
