,med,lo_68,hi_68,lo_95,hi_95
2021-07-22,26.24264705882353,16.058333333333334,52.08000000000002,4.341666666666668,75.71875000000006
2021-07-23,27.39814814814814,16.189830508474575,52.641379310344846,3.8416666666666672,75.84375000000027
2021-07-24,27.0,16.272248062015503,52.381538461538454,4.981818181818182,75.03999999999981
2021-07-25,26.46078431372549,16.065157232704404,51.7835294117647,3.7531250000000007,75.99583333333332
2021-07-26,26.689024390243905,16.204155844155846,51.21244444444446,5.248333333333334,75.28437500000005
2021-07-27,26.732142857142854,16.412424242424244,52.180377358490574,3.7953125000000005,78.15937500000007
2021-07-28,26.89855072463768,16.132086330935252,52.314594594594595,4.843333333333334,76.73500000000006
2021-07-29,28.431034482758623,16.327766990291263,53.52242424242424,3.6357142857142866,77.51
2021-07-30,29.74590163934426,16.374736842105264,55.138064516129,3.1616666666666675,78.82678571428565
2021-07-31,28.605263157894743,16.365531914893616,53.73257142857145,3.591071428571429,78.46562500000009
2021-08-01,29.099999999999998,16.314545454545453,54.08,4.138888888888889,79.22500000000001
2021-08-02,29.629411764705885,16.519420289855073,55.45551020408162,3.5697368421052627,79.7175
2021-08-03,28.416666666666664,16.20253164556962,55.615384615384606,3.6875,79.62499999999996
2021-08-04,29.46825396825397,16.293731343283582,54.61422222222222,4.264473684210527,78.99807692307694
2021-08-05,31.042372881355934,16.38074074074074,55.80756756756757,3.8485294117647064,80.84166666666674
2021-08-06,32.029411764705884,16.25278350515464,56.76972972972972,4.020238095238096,81.07187499999999
2021-08-07,32.381578947368425,16.209473684210526,56.726896551724195,3.0734375000000003,81.6031250000002
2021-08-08,31.918367346938773,16.446153846153845,57.82857142857142,4.249999999999999,81.65624999999996
2021-08-09,31.313725490196084,15.989600000000001,56.26926829268293,3.468518518518519,82.45937500000005
2021-08-10,32.34615384615385,16.133333333333333,57.20571428571425,3.168103448275862,81.59374999999989
2021-08-11,32.159090909090914,15.911724137931035,57.333684210526314,3.33,81.48124999999999
2021-08-12,33.00961538461538,15.5515,56.95489361702126,3.5223684210526325,81.18863636363632
2021-08-13,33.936170212765965,15.473066666666666,58.014857142857146,3.028,82.13000000000005
2021-08-14,34.766666666666666,15.953015873015874,57.7406451612903,3.3634615384615394,81.2977272727272
2021-08-15,36.36904761904762,16.148307692307693,59.47219512195124,3.0132352941176475,82.27750000000002
2021-08-16,34.33333333333332,15.808607594936708,58.13599999999999,3.2966666666666664,81.2527777777778
2021-08-17,34.07377049180328,15.950843373493978,58.17882352941175,2.976041666666667,82.69861111111108
2021-08-18,33.95081967213115,15.707906976744187,58.128750000000004,2.747826086956522,82.83076923076918
2021-08-19,34.45,15.921666666666665,57.93948717948718,2.886458333333333,83.47708333333324
2021-08-20,35.97014925373134,16.38057142857143,59.75282051282049,3.588095238095238,83.2973684210526
2021-08-21,35.11718750000001,15.094222222222225,57.76307692307695,2.6290000000000004,81.09107142857157
2021-08-22,36.18518518518518,15.38836363636364,58.321333333333335,2.5826086956521737,81.8727272727273
