dt_RICOVERO,ricoveri,deceduti,deceduti/ricoveri 21gg
2021-08-30,325,58.0,0.1427979560834139
2021-08-31,348,57.0,0.14279761077927489
2021-09-01,350,49.0,0.1424961392671627
2021-09-02,373,52.0,0.14364406779661018
2021-09-03,339,51.0,0.1419226393629124
2021-09-04,338,45.0,0.14269208549971116
2021-09-05,261,33.0,0.14180749448934607
2021-09-06,345,47.0,0.14337078651685392
2021-09-07,339,40.0,0.14529653910657112
2021-09-08,314,49.0,0.14552529182879378
2021-09-09,305,38.0,0.14498494691807953
2021-09-10,304,40.0,0.14299501367218917
2021-09-11,294,42.0,0.14255284286416517
2021-09-12,245,46.0,0.14175473913772857
2021-09-13,328,37.0,0.141852487135506
2021-09-14,271,45.0,0.14145141451414514
2021-09-15,249,30.0,0.14252167630057805
2021-09-16,280,44.0,0.14233106241944393
2021-09-17,263,46.0,0.14124293785310735
2021-09-18,232,35.0,0.14053111068036442
2021-09-19,208,31.0,0.13960909453530115
2021-09-20,231,32.0,0.1407528641571195
2021-09-21,234,38.0,0.14028852184821242
2021-09-22,208,24.0,0.14068196440060046
2021-09-23,242,34.0,0.13807439824945295
2021-09-24,200,29.0,0.1411764705882353
2021-09-25,183,29.0,0.14021286441462286
2021-09-26,156,17.0,0.14126833885470894
2021-09-27,224,24.0,0.14007782101167315
2021-09-28,188,15.0,0.13881940970485243
2021-09-29,169,24.0,0.13780737704918034
2021-09-30,179,26.0,0.13997906855049713
2021-10-01,199,23.0,0.14021942734814022
2021-10-02,174,27.0,0.1414141414141414
2021-10-03,152,21.0,0.14250138350857774
2021-10-04,178,30.0,0.14371087080250428
2021-10-05,173,27.0,0.14252939489532548
2021-10-06,153,21.0,0.1459115862467495
2021-10-07,166,23.0,0.1477074869413813
2021-10-08,149,25.0,0.1515506143943827
2021-10-09,138,18.0,0.1567489114658926
2021-10-10,126,28.0,0.15643906655142611
2021-10-11,146,21.0,0.15801548609119587
2021-10-12,160,32.0,0.1626984126984127
2021-10-13,159,21.0,0.16219270980502967
2021-10-14,142,24.0,0.16275167785234898
2021-10-15,173,21.0,0.16423257095618626
2021-10-16,157,37.0,0.16634955150856212
2021-10-17,141,21.0,0.16754617414248021
2021-10-18,196,33.0,0.16981620502200362
2021-10-19,215,37.0,0.16893595562279376
2021-10-20,195,27.0,0.17104294478527607
2021-10-21,195,34.0,0.17013142174432497
2021-10-22,240,46.0,0.17339277334584702
2021-10-23,185,27.0,0.1751592356687898
2021-10-24,189,29.0,0.1756517896597437
2021-10-25,231,44.0,0.17801824740080627
2021-10-26,223,43.0,0.17938144329896907
2021-10-27,264,44.0,0.17544922269331717
2021-10-28,239,44.0,0.1780984384265665
2021-10-29,252,39.0,0.17907289863435277
2021-10-30,247,45.0,0.17805891238670696
2021-10-31,236,43.0,0.1809804644305197
2021-11-01,223,48.0,0.1791719399746881
2021-11-02,294,63.0,0.1804843556655471
