date,confirmed,hospitalizations,hospitalizations_/_confirmed_7_days_moving_average
2021-02-07,589,60,0.0884719145241476
2021-02-08,733,75,0.08710961249739375
2021-02-09,978,71,0.08546776139075392
2021-02-10,883,63,0.08551567386846241
2021-02-11,903,75,0.08531723054608022
2021-02-12,923,78,0.08346265051409966
2021-02-13,796,66,0.0841568662833181
2021-02-14,418,42,0.08532360148741065
2021-02-15,694,62,0.09110869365124034
2021-02-16,865,67,0.0926758857485478
2021-02-17,742,59,0.09557891066843671
2021-02-18,777,96,0.0959542136916639
2021-02-19,995,95,0.09833562674099275
2021-02-20,649,67,0.0986945262696406
2021-02-21,805,83,0.09813391575296328
2021-02-22,849,90,0.09110220727663201
2021-02-23,1288,103,0.08971057536899063
2021-02-24,1270,96,0.08607499547581624
2021-02-25,1157,86,0.08786936527033153
2021-02-26,1318,113,0.08536333771366024
2021-02-27,1247,97,0.08503401303854265
2021-02-28,683,79,0.08407477621799901
2021-03-01,1153,102,0.08374376608541108
2021-03-02,1558,121,0.08135452567240097
2021-03-03,1539,106,0.08356191797416923
2021-03-04,1222,88,0.08388799502059767
2021-03-05,1507,104,0.08426804128590433
2021-03-06,1405,131,0.0852966364999779
2021-03-07,780,92,0.08677359804298133
2021-03-08,1262,115,0.08768731198861016
2021-03-09,1579,134,0.09048370484207909
2021-03-10,1477,117,0.08867374572999993
2021-03-11,1760,138,0.08707897416859878
2021-03-12,1761,156,0.08852344244645878
2021-03-13,1477,119,0.09078162859896254
2021-03-14,899,96,0.09175194312756906
2021-03-15,1294,131,0.09198795775037613
2021-03-16,1937,195,0.09310542730979686
2021-03-17,1465,126,0.09365151537256462
2021-03-18,1961,157,0.09303755039687102
2021-03-19,1587,153,0.09149262084633882
2021-03-20,1339,113,0.0915727325508129
2021-03-21,1005,103,0.09470109547624891
2021-03-22,1493,135,0.09782303389484145
2021-03-23,1867,189,0.09776965944142764
2021-03-24,1733,187,0.09934826781615251
2021-03-25,1619,165,0.10616013728402525
2021-03-26,1614,155,0.10614518899459614
2021-03-27,1404,134,0.10556103674773061
2021-03-28,879,132,0.10513488151574883
2021-03-29,1229,111,0.10504217588516626
2021-03-30,1750,170,0.10602241089330498
2021-03-31,1544,162,0.10706081350089446
2021-04-01,1501,152,0.10474217544238769
2021-04-02,1312,135,0.11116743065431786
2021-04-03,1402,144,0.11316289550692556
2021-04-04,769,103,0.1107242484181883
2021-04-05,680,92,0.1108444121926204
2021-04-06,999,111,0.10951301006444934
2021-04-07,1457,128,0.1077351633545839
2021-04-08,1234,126,0.1041332448472925
2021-04-09,1261,118,0.10038712436886356
2021-04-10,1130,102,0.09706746024076358
2021-04-11,699,76,0.0980756965961355
2021-04-12,926,101,0.09446658647223419
2021-04-13,1138,100,0.09296876659700508
2021-04-14,1159,110,0.09420068119175154
2021-04-15,963,74,0.0949948185891998
2021-04-16,1035,86,0.09439146534352806
2021-04-17,900,89,0.09279962914728368
2021-04-18,560,64,0.09359587016560521
2021-04-19,887,93,0.0944849979246383
2021-04-20,1199,92,0.09457613988480769
2021-04-21,1035,104,0.0929305015725027
2021-04-22,939,78,0.0919460232741411
2021-04-23,1051,88,0.09171102975938894
2021-04-24,1053,92,0.09384677348794275
2021-04-25,568,61,0.09330382672616226
2021-04-26,843,87,0.0917989133712909
2021-04-27,1178,108,0.09158474803668037
2021-04-28,1055,102,0.09584221896081797
2021-04-29,841,61,0.0956857684467097
2021-04-30,1058,87,0.0946355354535384
2021-05-01,495,58,0.09386444558212849
2021-05-02,508,54,0.09140555047077425
2021-05-03,699,67,0.09349107448856962
2021-05-04,904,78,0.09425393129576977
2021-05-05,906,72,0.09285124901073454
2021-05-06,746,65,0.09099071693516156
2021-05-07,708,62,0.0882866970637597
2021-05-08,680,73,0.08568778304608085
2021-05-09,461,43,0.08428805911351576
2021-05-10,468,36,0.08487513177354199
2021-05-11,749,51,0.08503072782290004
2021-05-12,488,34,0.080003871719634
2021-05-13,548,50,0.08587699510666855
2021-05-14,485,43,0.0876430861584739
2021-05-15,388,28,0.08730683816931284
2021-05-16,253,34,0.09070143992457033
2021-05-17,392,35,0.09166455892761445
2021-05-18,502,33,0.0910004226838956
2021-05-19,396,37,0.0964296431227264
2021-05-20,347,34,0.0916776779408638
2021-05-21,369,31,0.08924959827526262
2021-05-22,354,39,0.09033198844645887
2021-05-23,178,18,0.086836441847464
2021-05-24,249,18,0.08918273766564964
2021-05-25,341,25,0.08727147054448135
2021-05-26,290,20,0.0823266225487859
