date,0_39,40_59,60_79,80_89,90_+
2021-06-14,25.285714285714285,40.285714285714285,31.714285714285715,10.142857142857142,4.857142857142857
2021-06-15,24.0,38.142857142857146,30.571428571428573,10.0,4.428571428571429
2021-06-16,21.714285714285715,35.0,29.0,9.142857142857142,4.285714285714286
2021-06-17,19.857142857142858,31.285714285714285,29.142857142857142,8.428571428571429,4.428571428571429
2021-06-18,19.428571428571427,30.428571428571427,26.428571428571427,8.142857142857142,4.0
2021-06-19,20.142857142857142,30.285714285714285,23.142857142857142,7.857142857142857,4.0
2021-06-20,19.428571428571427,28.285714285714285,21.0,7.428571428571429,4.0
2021-06-21,20.428571428571427,27.428571428571427,20.428571428571427,7.714285714285714,3.7142857142857144
2021-06-22,19.714285714285715,26.142857142857142,18.714285714285715,8.0,3.2857142857142856
2021-06-23,18.857142857142858,26.142857142857142,19.0,8.571428571428571,2.857142857142857
2021-06-24,18.285714285714285,26.428571428571427,17.714285714285715,8.285714285714286,2.857142857142857
2021-06-25,17.714285714285715,26.142857142857142,17.857142857142858,9.0,3.0
2021-06-26,16.571428571428573,23.571428571428573,17.428571428571427,8.714285714285714,3.0
2021-06-27,18.0,21.428571428571427,18.285714285714285,8.714285714285714,2.4285714285714284
2021-06-28,17.571428571428573,21.142857142857142,16.857142857142858,8.428571428571429,2.5714285714285716
2021-06-29,17.0,19.714285714285715,16.857142857142858,8.571428571428571,2.4285714285714284
2021-06-30,18.0,19.142857142857142,16.142857142857142,7.714285714285714,2.4285714285714284
2021-07-01,19.857142857142858,19.857142857142858,16.142857142857142,7.0,2.142857142857143
2021-07-02,20.428571428571427,18.285714285714285,16.285714285714285,6.285714285714286,2.2857142857142856
2021-07-03,22.142857142857142,17.285714285714285,16.142857142857142,5.714285714285714,1.8571428571428572
2021-07-04,22.0,19.857142857142858,16.0,6.0,1.8571428571428572
2021-07-05,23.857142857142858,19.285714285714285,17.285714285714285,6.285714285714286,1.8571428571428572
2021-07-06,25.142857142857142,21.0,17.714285714285715,6.428571428571429,2.2857142857142856
2021-07-07,25.571428571428573,21.285714285714285,18.285714285714285,6.571428571428571,2.2857142857142856
2021-07-08,26.0,21.428571428571427,18.142857142857142,6.857142857142857,2.2857142857142856
2021-07-09,27.285714285714285,22.0,19.0,6.571428571428571,2.0
2021-07-10,29.285714285714285,23.571428571428573,20.285714285714285,7.571428571428571,2.142857142857143
2021-07-11,29.285714285714285,22.571428571428573,21.0,9.142857142857142,2.2857142857142856
2021-07-12,30.285714285714285,22.285714285714285,21.714285714285715,9.857142857142858,2.142857142857143
2021-07-13,33.714285714285715,23.285714285714285,23.0,9.857142857142858,1.8571428571428572
2021-07-14,38.42857142857143,24.142857142857142,24.0,10.857142857142858,1.8571428571428572
2021-07-15,41.857142857142854,25.571428571428573,24.714285714285715,11.285714285714286,2.4285714285714284
2021-07-16,46.0,30.571428571428573,25.571428571428573,12.714285714285714,2.7142857142857144
2021-07-17,49.0,33.142857142857146,26.571428571428573,13.142857142857142,2.5714285714285716
2021-07-18,53.285714285714285,38.0,28.142857142857142,13.142857142857142,3.2857142857142856
2021-07-19,57.57142857142857,43.57142857142857,30.428571428571427,13.857142857142858,3.4285714285714284
2021-07-20,60.42857142857143,45.285714285714285,33.857142857142854,14.428571428571429,4.857142857142857
2021-07-21,61.0,48.42857142857143,37.142857142857146,15.285714285714286,6.0
2021-07-22,63.57142857142857,53.857142857142854,41.42857142857143,17.0,5.571428571428571
2021-07-23,63.857142857142854,55.57142857142857,45.714285714285715,17.142857142857142,5.857142857142857
2021-07-24,64.0,60.0,46.714285714285715,19.0,6.0
2021-07-25,65.42857142857143,62.57142857142857,48.57142857142857,20.142857142857142,6.142857142857143
2021-07-26,62.0,63.142857142857146,52.57142857142857,20.571428571428573,6.857142857142857
2021-07-27,65.14285714285714,68.42857142857143,53.285714285714285,21.714285714285715,6.571428571428571
2021-07-28,67.0,70.85714285714286,54.142857142857146,23.285714285714285,6.571428571428571
2021-07-29,66.71428571428571,70.28571428571429,55.142857142857146,25.428571428571427,7.285714285714286
2021-07-30,68.42857142857143,73.14285714285714,54.857142857142854,28.857142857142858,7.857142857142857
2021-07-31,71.28571428571429,74.28571428571429,60.714285714285715,30.714285714285715,9.142857142857142
2021-08-01,73.14285714285714,76.85714285714286,63.142857142857146,32.142857142857146,9.285714285714286
2021-08-02,76.57142857142857,79.28571428571429,65.57142857142857,33.0,10.142857142857142
2021-08-03,75.42857142857143,81.14285714285714,69.85714285714286,36.142857142857146,10.142857142857142
2021-08-04,76.14285714285714,83.71428571428571,72.57142857142857,37.857142857142854,10.142857142857142
2021-08-05,78.28571428571429,85.28571428571429,73.85714285714286,37.285714285714285,10.857142857142858
2021-08-06,78.71428571428571,87.42857142857143,80.28571428571429,38.57142857142857,11.857142857142858
2021-08-07,77.71428571428571,88.42857142857143,84.42857142857143,38.714285714285715,11.571428571428571
2021-08-08,76.71428571428571,89.57142857142857,90.0,39.57142857142857,12.0
2021-08-09,77.42857142857143,91.0,91.42857142857143,41.714285714285715,12.285714285714286
2021-08-10,75.85714285714286,93.14285714285714,94.14285714285714,44.142857142857146,13.285714285714286
2021-08-11,76.85714285714286,94.14285714285714,95.57142857142857,44.285714285714285,15.0
